run,latency_s,pytorch_peak_allocated_gib,pytorch_peak_reserved_gib
1,83.17943988801562,57.96169662475586,59.494140625
2,88.45802218202152,57.96169662475586,59.494140625
3,83.77424664297723,57.96169662475586,59.494140625
