stage,calls,time_s,percentage
Prompt Encoding,1,0.09257490301388316,0.11261519870936301
Latent Preparation,1,5.892899935133755e-05,7.168574587325873e-05
Transformer Forward,50,81.42913107899949,99.05662850996535
Scheduler Update,50,0.00319934292929247,0.0038919256514655474
Latent Unpacking,1,2.7551985112950206e-05,3.351634381801066e-05
VAE Decode,1,0.6492521369946189,0.7898000002134776
Image Postprocessing,1,0.01711642398731783,0.020821728414194867
Other Pipeline Overhead,,0.013265718065667897,0.016137434956464806
