num_inference_steps,measured_runs,wall_mean_s,wall_median_s,wall_std_s,wall_min_s,wall_max_s,stage_0_mean_s,stage_0_median_s,stage_0_std_s,queue_mean_ms,peak_memory_max_mb
10,5,13.517903415399996,13.517445036000026,0.08493564099989809,13.38689222899984,13.60115714299991,13.44904842376709,13.468372106552124,0.08568578716247822,0.21135779988981085,58886.0
20,5,26.30250352999992,26.303960801999892,0.06480453346572765,26.236608279999928,26.38340616200003,26.230323934555052,26.231441497802734,0.064742671010553,0.19446579999566893,58886.0
30,5,39.088842525399926,39.128744651000034,0.13124566578176455,38.86018077399967,39.19701308599997,39.017101764678955,39.05580973625183,0.1314953359093539,0.22651679992122808,58886.0
40,5,51.755217715199976,51.765206273999866,0.1596876875275669,51.496665697000026,51.92539135099969,51.68310332298279,51.693852186203,0.1606814631217066,0.21313420011210837,58886.0
50,5,64.44597898640004,64.4363746869999,0.07956179594680649,64.35320412100009,64.57097776199998,64.37365803718566,64.36321592330933,0.079276491228307,0.22263840010054992,58886.0
