run_id,timestamp,num_inference_steps,seed,true_cfg_scale,wall_latency_s,queue_wait_ms,stage_0_gen_ms,peak_memory_mb
1,2026-08-31T15:19:16.787219,50,42,1.0,64.9388961730001,0.20816000005652313,64861.602544784546,58886.0
2,2026-08-31T15:20:21.316554,50,42,1.0,64.5246391439996,0.18910300013885717,64451.417684555054,58886.0
3,2026-08-31T15:21:25.627909,50,42,1.0,64.30647726799998,0.12451200018404052,64234.29465293884,58886.0
4,2026-08-31T15:22:30.091355,50,42,1.0,64.45823886100015,0.2898389998335915,64383.426666259766,58886.0
5,2026-08-31T15:23:34.775933,50,42,1.0,64.67996230399967,0.22901400006958283,64606.44793510437,58886.0
